time,P_e_NM,P_e_Lindblad,coherence_NM,coherence_Lindblad,trace_distance
1.180000000000000071e+01,5.061855735060930561e-01,5.880166589130852994e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.183108540699229883e-02
1.200000000000000000e+01,4.995027305083210023e-01,5.827482523739896392e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.324552186566862300e-02
1.220000000000000107e+01,4.928563456835810541e-01,5.775270487619545978e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.467070307837355758e-02
1.240000000000000036e+01,4.862462043001017364e-01,5.723526251566332101e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.610642085653148758e-02
1.260000000000000142e+01,4.796720967479610742e-01,5.672245624268840158e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.755246567892294163e-02
1.280000000000000071e+01,4.731338182469440046e-01,5.621424451968224378e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.900862694987843327e-02
1.300000000000000000e+01,4.666311685768000372e-01,5.571058618121738082e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.047469323537375707e-02
1.320000000000000107e+01,4.601639518270321250e-01,5.521144043069305951e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.195045247989848403e-02
1.340000000000000036e+01,4.537319761615359881e-01,5.471676683703055044e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.343569220876954406e-02
1.360000000000000142e+01,4.473350535984967902e-01,5.422652533139831199e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.493019971548632974e-02
1.380000000000000071e+01,4.409729998072468016e-01,5.374067620396635325e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.643376223241671708e-02
1.400000000000000000e+01,4.346456339206699049e-01,5.325918010068971808e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.794616708622728984e-02
1.420000000000000107e+01,4.283527783627532615e-01,5.278199802012075725e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.946720183845432495e-02
1.440000000000000036e+01,4.220942586868113855e-01,5.230909131025007763e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.009966544156894047e-01
1.460000000000000142e+01,4.158699034236906233e-01,5.184042166537559115e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025343132300653021e-01
1.480000000000000071e+01,4.096795439385855220e-01,5.137595112299983002e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.040799672914127644e-01
1.500000000000000000e+01,4.035230142972672240e-01,5.091564206075491761e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.056334063102819243e-01
1.520000000000000107e+01,3.974001511419981703e-01,5.045945719335510615e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.071944207915529051e-01
1.540000000000000036e+01,3.913107935758773359e-01,5.000735956957675921e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.087628021198902700e-01
1.560000000000000142e+01,3.852547830548737062e-01,4.955931256926513484e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.103383426377776561e-01
1.580000000000000071e+01,3.792319632855332134e-01,4.911527990036826385e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.119208357181494112e-01
1.600000000000000000e+01,3.732421801285047969e-01,4.867522559599716248e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.135100758314668279e-01
1.619999999999999929e+01,3.672108993609025096e-01,4.823911401151259049e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.151802407542233952e-01
1.640000000000000213e+01,3.612867467596848625e-01,4.780690982163774971e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.167823514566926069e-01
1.660000000000000142e+01,3.553951880832182941e-01,4.737857801759697285e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.183905920927514344e-01
1.680000000000000071e+01,3.495360767545595548e-01,4.695408390427991963e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.200047622882396692e-01
1.700000000000000000e+01,3.437092679979030230e-01,4.653339309743133589e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.216246629764103360e-01
1.719999999999999929e+01,3.378464667192192517e-01,4.611647152086584267e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.233182484894391751e-01
1.740000000000000213e+01,3.320838455412550294e-01,4.570328540370778292e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.249490084958228275e-01
1.760000000000000142e+01,3.263531091731258216e-01,4.529380127765576525e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.265849036034318309e-01
